MONTH,GEOGRAPHY,DURATION,AGE GROUP,Both sexes,Male,Female
Sep2002,Central region,   5 - 13 weeks,  25-44,33.5,16.3,17.2
Sep2002,Central region,   5 - 13 weeks,  45-54,10.3,4.2,6.1
Sep2002,Central region,   5 - 13 weeks,  55-64,3.3,0.0,1.8
Sep2002,Central region,   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,   14 - 25 weeks,"Total, 15 years and over",34.5,17.8,16.7
Sep2002,Central region,   14 - 25 weeks, 15-64 years,34.3,17.8,16.5
Sep2002,Central region,   14 - 25 weeks,  15-19,1.5,0.0,0.0
Sep2002,Central region,   14 - 25 weeks,  20-24,4.3,1.9,2.5
Sep2002,Central region,   14 - 25 weeks,  25-44,17.3,8.4,8.8
Sep2002,Central region,   14 - 25 weeks,  45-54,6.9,3.7,3.3
Sep2002,Central region,   14 - 25 weeks,  55-64,4.3,2.9,0.0
Sep2002,Central region,   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,   26 weeks ,"Total, 15 years and over",2.9,2.2,0.0
Sep2002,Central region,   26 weeks , 15-64 years,2.9,2.2,0.0
Sep2002,Central region,   26 weeks ,  15-19,0.0,0.0,0.0
Sep2002,Central region,   26 weeks ,  20-24,0.0,0.0,0.0
Sep2002,Central region,   26 weeks ,  25-44,2.6,2.2,0.0
Sep2002,Central region,   26 weeks ,  45-54,0.0,0.0,0.0
Sep2002,Central region,   26 weeks ,  55-64,0.0,0.0,0.0
Sep2002,Central region,   26 weeks ,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,   27 weeks or more,"Total, 15 years and over",38.7,19.7,19.0
Sep2002,Central region,   27 weeks or more, 15-64 years,38.3,19.5,18.8
Sep2002,Central region,   27 weeks or more,  15-19,0.0,0.0,0.0
Sep2002,Central region,   27 weeks or more,  20-24,5.5,3.5,2.0
Sep2002,Central region,   27 weeks or more,  25-44,21.8,11.6,10.2
Sep2002,Central region,   27 weeks or more,  45-54,6.5,2.6,3.9
Sep2002,Central region,   27 weeks or more,  55-64,4.1,1.7,2.3
Sep2002,Central region,   27 weeks or more,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,      27 - 51 weeks,"Total, 15 years and over",21.7,11.9,9.8
Sep2002,Central region,      27 - 51 weeks, 15-64 years,21.5,11.9,9.6
Sep2002,Central region,      27 - 51 weeks,  15-19,0.0,0.0,0.0
Sep2002,Central region,      27 - 51 weeks,  20-24,2.7,1.7,0.0
Sep2002,Central region,      27 - 51 weeks,  25-44,13.1,7.8,5.3
Sep2002,Central region,      27 - 51 weeks,  45-54,3.1,1.5,1.6
Sep2002,Central region,      27 - 51 weeks,  55-64,2.2,0.0,0.0
Sep2002,Central region,      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,      52 weeks,"Total, 15 years and over",7.9,3.5,4.4
Sep2002,Central region,      52 weeks, 15-64 years,7.9,3.5,4.4
Sep2002,Central region,      52 weeks,  15-19,0.0,0.0,0.0
Sep2002,Central region,      52 weeks,  20-24,1.6,0.0,0.0
Sep2002,Central region,      52 weeks,  25-44,3.9,0.0,2.6
Sep2002,Central region,      52 weeks,  45-54,1.6,0.0,0.0
Sep2002,Central region,      52 weeks,  55-64,0.0,0.0,0.0
Sep2002,Central region,      52 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,      53 weeks or more,"Total, 15 years and over",9.1,4.3,4.8
Sep2002,Central region,      53 weeks or more, 15-64 years,8.9,4.1,4.8
Sep2002,Central region,      53 weeks or more,  15-19,0.0,0.0,0.0
Sep2002,Central region,      53 weeks or more,  20-24,0.0,0.0,0.0
Sep2002,Central region,      53 weeks or more,  25-44,4.8,2.5,2.3
Sep2002,Central region,      53 weeks or more,  45-54,1.9,0.0,1.5
Sep2002,Central region,      53 weeks or more,  55-64,0.0,0.0,0.0
Sep2002,Central region,      53 weeks or more,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,   Duration unknown,"Total, 15 years and over",10.3,4.1,6.2
Sep2002,Central region,   Duration unknown, 15-64 years,10.3,4.1,6.2
Sep2002,Central region,   Duration unknown,  15-19,0.0,0.0,0.0
Sep2002,Central region,   Duration unknown,  20-24,0.0,0.0,0.0
Sep2002,Central region,   Duration unknown,  25-44,4.2,1.6,2.6
Sep2002,Central region,   Duration unknown,  45-54,1.6,0.0,0.0
Sep2002,Central region,   Duration unknown,  55-64,1.8,0.0,0.0
Sep2002,Central region,   Duration unknown,  65 years and over,0.0,0.0,0.0
Sep2002,Central region,Average weeks unemployed (no top-code),"Total, 15 years and over",14.7,14.1,15.3
Sep2002,Central region,Average weeks unemployed (no top-code), 15-64 years,14.7,14.0,15.3
Sep2002,Central region,Average weeks unemployed (no top-code),  15-19,5.1,4.9,5.3
Sep2002,Central region,Average weeks unemployed (no top-code),  20-24,12.5,13.1,11.8
Sep2002,Central region,Average weeks unemployed (no top-code),  25-44,17.0,17.0,16.9
Sep2002,Central region,Average weeks unemployed (no top-code),  45-54,16.8,15.5,17.7
Sep2002,Central region,Average weeks unemployed (no top-code),  55-64,24.1,19.2,31.0
Sep2002,Central region,Average weeks unemployed (no top-code),  65 years and over,20.9,25.8,15.4
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),"Total, 15 years and over",14.0,14.0,14.1
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks), 15-64 years,14.0,13.9,14.1
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),  15-19,5.1,4.9,5.3
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),  20-24,12.5,13.1,11.8
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),  25-44,15.9,16.9,15.1
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),  45-54,16.5,15.0,17.6
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),  55-64,21.3,18.9,24.5
Sep2002,Central region,Average weeks unemployed (top-code = 99 weeks),  65 years and over,20.7,25.6,15.4
Sep2002,Western region,Total unemployed,"Total, 15 years and over",121.3,64.5,56.8
Sep2002,Western region,Total unemployed, 15-64 years,120.4,63.9,56.5
Sep2002,Western region,Total unemployed,  15-19,27.5,15.1,12.5
Sep2002,Western region,Total unemployed,  20-24,16.0,8.5,7.4
Sep2002,Western region,Total unemployed,  25-44,52.3,27.5,24.8
Sep2002,Western region,Total unemployed,  45-54,16.4,7.9,8.5
Sep2002,Western region,Total unemployed,  55-64,8.2,4.9,3.3
Sep2002,Western region,Total unemployed,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,   1 - 4 weeks,"Total, 15 years and over",48.3,23.5,24.8
Sep2002,Western region,   1 - 4 weeks, 15-64 years,47.9,23.4,24.5
Sep2002,Western region,   1 - 4 weeks,  15-19,15.3,8.0,7.3
Sep2002,Western region,   1 - 4 weeks,  20-24,7.5,3.8,3.7
Sep2002,Western region,   1 - 4 weeks,  25-44,16.7,7.2,9.6
Sep2002,Western region,   1 - 4 weeks,  45-54,5.4,2.7,2.7
Sep2002,Western region,   1 - 4 weeks,  55-64,2.9,1.7,0.0
Sep2002,Western region,   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,   5 - 13 weeks,"Total, 15 years and over",35.7,21.3,14.4
Sep2002,Western region,   5 - 13 weeks, 15-64 years,35.4,21.0,14.4
Sep2002,Western region,   5 - 13 weeks,  15-19,9.2,5.4,3.8
Sep2002,Western region,   5 - 13 weeks,  20-24,4.7,3.2,1.5
Sep2002,Western region,   5 - 13 weeks,  25-44,15.8,9.4,6.4
Sep2002,Western region,   5 - 13 weeks,  45-54,3.7,1.8,1.9
Sep2002,Western region,   5 - 13 weeks,  55-64,2.1,0.0,0.0
Sep2002,Western region,   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,   14 - 25 weeks,"Total, 15 years and over",11.8,6.4,5.5
Sep2002,Western region,   14 - 25 weeks, 15-64 years,11.7,6.2,5.5
Sep2002,Western region,   14 - 25 weeks,  15-19,0.0,0.0,0.0
Sep2002,Western region,   14 - 25 weeks,  20-24,1.5,0.0,0.0
Sep2002,Western region,   14 - 25 weeks,  25-44,6.6,3.4,3.2
Sep2002,Western region,   14 - 25 weeks,  45-54,1.6,0.0,0.0
Sep2002,Western region,   14 - 25 weeks,  55-64,0.0,0.0,0.0
Sep2002,Western region,   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,"Total, 15 years and over",0.0,0.0,0.0
Sep2002,Western region,   26 weeks , 15-64 years,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,  15-19,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,  20-24,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,  25-44,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,  45-54,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,  55-64,0.0,0.0,0.0
Sep2002,Western region,   26 weeks ,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,   27 weeks or more,"Total, 15 years and over",19.4,10.8,8.5
Sep2002,Western region,   27 weeks or more, 15-64 years,19.4,10.8,8.5
Sep2002,Western region,   27 weeks or more,  15-19,0.0,0.0,0.0
Sep2002,Western region,   27 weeks or more,  20-24,1.5,0.0,0.0
Sep2002,Western region,   27 weeks or more,  25-44,10.6,6.2,4.4
Sep2002,Western region,   27 weeks or more,  45-54,4.4,2.1,2.2
Sep2002,Western region,   27 weeks or more,  55-64,1.9,0.0,0.0
Sep2002,Western region,   27 weeks or more,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,      27 - 51 weeks,"Total, 15 years and over",9.6,5.4,4.2
Sep2002,Western region,      27 - 51 weeks, 15-64 years,9.6,5.4,4.2
Sep2002,Western region,      27 - 51 weeks,  15-19,0.0,0.0,0.0
Sep2002,Western region,      27 - 51 weeks,  20-24,0.0,0.0,0.0
Sep2002,Western region,      27 - 51 weeks,  25-44,6.3,4.1,2.2
Sep2002,Western region,      27 - 51 weeks,  45-54,0.0,0.0,0.0
Sep2002,Western region,      27 - 51 weeks,  55-64,0.0,0.0,0.0
Sep2002,Western region,      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,      52 weeks,"Total, 15 years and over",4.4,1.8,2.6
Sep2002,Western region,      52 weeks, 15-64 years,4.4,1.8,2.6
Sep2002,Western region,      52 weeks,  15-19,0.0,0.0,0.0
Sep2002,Western region,      52 weeks,  20-24,0.0,0.0,0.0
Sep2002,Western region,      52 weeks,  25-44,2.5,0.0,0.0
Sep2002,Western region,      52 weeks,  45-54,0.0,0.0,0.0
Sep2002,Western region,      52 weeks,  55-64,0.0,0.0,0.0
Sep2002,Western region,      52 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,      53 weeks or more,"Total, 15 years and over",5.3,3.6,1.7
Sep2002,Western region,      53 weeks or more, 15-64 years,5.3,3.6,1.7
Sep2002,Western region,      53 weeks or more,  15-19,0.0,0.0,0.0
Sep2002,Western region,      53 weeks or more,  20-24,0.0,0.0,0.0
Sep2002,Western region,      53 weeks or more,  25-44,1.7,0.0,0.0
Sep2002,Western region,      53 weeks or more,  45-54,2.0,0.0,0.0
Sep2002,Western region,      53 weeks or more,  55-64,0.0,0.0,0.0
Sep2002,Western region,      53 weeks or more,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,   Duration unknown,"Total, 15 years and over",5.4,2.1,3.4
Sep2002,Western region,   Duration unknown, 15-64 years,5.4,2.1,3.4
Sep2002,Western region,   Duration unknown,  15-19,0.0,0.0,0.0
Sep2002,Western region,   Duration unknown,  20-24,0.0,0.0,0.0
Sep2002,Western region,   Duration unknown,  25-44,2.1,0.0,0.0
Sep2002,Western region,   Duration unknown,  45-54,0.0,0.0,0.0
Sep2002,Western region,   Duration unknown,  55-64,0.0,0.0,0.0
Sep2002,Western region,   Duration unknown,  65 years and over,0.0,0.0,0.0
Sep2002,Western region,Average weeks unemployed (no top-code),"Total, 15 years and over",15.3,16.7,13.7
Sep2002,Western region,Average weeks unemployed (no top-code), 15-64 years,15.4,16.7,13.8
Sep2002,Western region,Average weeks unemployed (no top-code),  15-19,7.0,7.3,6.5
Sep2002,Western region,Average weeks unemployed (no top-code),  20-24,10.3,9.9,11.0
Sep2002,Western region,Average weeks unemployed (no top-code),  25-44,16.1,17.2,15.0
Sep2002,Western region,Average weeks unemployed (no top-code),  45-54,25.9,30.2,21.5
Sep2002,Western region,Average weeks unemployed (no top-code),  55-64,28.3,33.5,20.0
Sep2002,Western region,Average weeks unemployed (no top-code),  65 years and over,7.5,10.0,3.3
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),"Total, 15 years and over",14.4,15.2,13.5
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks), 15-64 years,14.5,15.2,13.6
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),  15-19,7.0,7.3,6.5
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),  20-24,10.3,9.9,11.0
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),  25-44,15.9,16.8,14.9
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),  45-54,23.3,25.1,21.5
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),  55-64,21.8,24.3,17.9
Sep2002,Western region,Average weeks unemployed (top-code = 99 weeks),  65 years and over,7.5,10.0,3.3
Sep2002,Northern region,Total unemployed,"Total, 15 years and over",29.6,16.5,13.1
Sep2002,Northern region,Total unemployed, 15-64 years,29.6,16.5,13.1
Sep2002,Northern region,Total unemployed,  15-19,7.9,5.1,2.8
Sep2002,Northern region,Total unemployed,  20-24,3.6,2.0,1.6
Sep2002,Northern region,Total unemployed,  25-44,10.5,5.2,5.3
Sep2002,Northern region,Total unemployed,  45-54,4.9,2.4,2.5
Sep2002,Northern region,Total unemployed,  55-64,2.6,1.7,0.0
Sep2002,Northern region,Total unemployed,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,   1 - 4 weeks,"Total, 15 years and over",11.6,6.5,5.1
Sep2002,Northern region,   1 - 4 weeks, 15-64 years,11.6,6.5,5.1
Sep2002,Northern region,   1 - 4 weeks,  15-19,3.8,2.7,0.0
Sep2002,Northern region,   1 - 4 weeks,  20-24,2.1,0.0,0.0
Sep2002,Northern region,   1 - 4 weeks,  25-44,3.5,1.5,2.0
Sep2002,Northern region,   1 - 4 weeks,  45-54,0.0,0.0,0.0
Sep2002,Northern region,   1 - 4 weeks,  55-64,0.0,0.0,0.0
Sep2002,Northern region,   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,   5 - 13 weeks,"Total, 15 years and over",9.4,5.4,4.0
Sep2002,Northern region,   5 - 13 weeks, 15-64 years,9.4,5.4,4.0
Sep2002,Northern region,   5 - 13 weeks,  15-19,2.9,1.7,0.0
Sep2002,Northern region,   5 - 13 weeks,  20-24,0.0,0.0,0.0
Sep2002,Northern region,   5 - 13 weeks,  25-44,3.0,1.6,0.0
Sep2002,Northern region,   5 - 13 weeks,  45-54,1.7,0.0,0.0
Sep2002,Northern region,   5 - 13 weeks,  55-64,0.0,0.0,0.0
Sep2002,Northern region,   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,   14 - 25 weeks,"Total, 15 years and over",2.8,1.5,0.0
Sep2002,Northern region,   14 - 25 weeks, 15-64 years,2.8,1.5,0.0
Sep2002,Northern region,   14 - 25 weeks,  15-19,0.0,0.0,0.0
Sep2002,Northern region,   14 - 25 weeks,  20-24,0.0,0.0,0.0
Sep2002,Northern region,   14 - 25 weeks,  25-44,0.0,0.0,0.0
Sep2002,Northern region,   14 - 25 weeks,  45-54,0.0,0.0,0.0
Sep2002,Northern region,   14 - 25 weeks,  55-64,0.0,0.0,0.0
Sep2002,Northern region,   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,"Total, 15 years and over",0.0,0.0,0.0
Sep2002,Northern region,   26 weeks , 15-64 years,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,  15-19,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,  20-24,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,  25-44,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,  45-54,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,  55-64,0.0,0.0,0.0
Sep2002,Northern region,   26 weeks ,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,   27 weeks or more,"Total, 15 years and over",4.3,2.6,1.7
Sep2002,Northern region,   27 weeks or more, 15-64 years,4.3,2.6,1.7
Sep2002,Northern region,   27 weeks or more,  15-19,0.0,0.0,0.0
Sep2002,Northern region,   27 weeks or more,  20-24,0.0,0.0,0.0
Sep2002,Northern region,   27 weeks or more,  25-44,2.0,0.0,0.0
Sep2002,Northern region,   27 weeks or more,  45-54,0.0,0.0,0.0
Sep2002,Northern region,   27 weeks or more,  55-64,0.0,0.0,0.0
Sep2002,Northern region,   27 weeks or more,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,      27 - 51 weeks,"Total, 15 years and over",2.4,1.6,0.0
Sep2002,Northern region,      27 - 51 weeks, 15-64 years,2.4,1.6,0.0
Sep2002,Northern region,      27 - 51 weeks,  15-19,0.0,0.0,0.0
Sep2002,Northern region,      27 - 51 weeks,  20-24,0.0,0.0,0.0
Sep2002,Northern region,      27 - 51 weeks,  25-44,0.0,0.0,0.0
Sep2002,Northern region,      27 - 51 weeks,  45-54,0.0,0.0,0.0
Sep2002,Northern region,      27 - 51 weeks,  55-64,0.0,0.0,0.0
Sep2002,Northern region,      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,"Total, 15 years and over",0.0,0.0,0.0
Sep2002,Northern region,      52 weeks, 15-64 years,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,  15-19,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,  20-24,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,  25-44,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,  45-54,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,  55-64,0.0,0.0,0.0
Sep2002,Northern region,      52 weeks,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,"Total, 15 years and over",0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more, 15-64 years,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,  15-19,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,  20-24,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,  25-44,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,  45-54,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,  55-64,0.0,0.0,0.0
Sep2002,Northern region,      53 weeks or more,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,"Total, 15 years and over",0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown, 15-64 years,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,  15-19,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,  20-24,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,  25-44,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,  45-54,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,  55-64,0.0,0.0,0.0
Sep2002,Northern region,   Duration unknown,  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,Average weeks unemployed (no top-code),"Total, 15 years and over",13.7,13.8,13.5
Sep2002,Northern region,Average weeks unemployed (no top-code), 15-64 years,13.7,13.9,13.5
Sep2002,Northern region,Average weeks unemployed (no top-code),  15-19,8.3,7.8,9.1
Sep2002,Northern region,Average weeks unemployed (no top-code),  20-24,9.8,10.8,7.9
Sep2002,Northern region,Average weeks unemployed (no top-code),  25-44,16.9,18.9,15.2
Sep2002,Northern region,Average weeks unemployed (no top-code),  45-54,15.5,15.4,15.7
Sep2002,Northern region,Average weeks unemployed (no top-code),  55-64,19.6,18.8,21.3
Sep2002,Northern region,Average weeks unemployed (no top-code),  65 years and over,0.0,0.0,0.0
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),"Total, 15 years and over",13.5,13.7,13.2
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks), 15-64 years,13.5,13.8,13.2
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),  15-19,8.3,7.8,9.1
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),  20-24,9.8,10.8,7.9
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),  25-44,16.4,18.5,14.5
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),  45-54,15.5,15.3,15.7
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),  55-64,19.4,18.4,21.1
Sep2002,Northern region,Average weeks unemployed (top-code = 99 weeks),  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",Total unemployed,"Total, 15 years and over",420.7,240.0,180.7
Dec2002,"Total, Ontario regions",Total unemployed, 15-64 years,416.9,237.5,179.4
Dec2002,"Total, Ontario regions",Total unemployed,  15-19,71.0,44.7,26.3
Dec2002,"Total, Ontario regions",Total unemployed,  20-24,59.6,38.6,21.0
Dec2002,"Total, Ontario regions",Total unemployed,  25-44,190.1,101.2,88.9
Dec2002,"Total, Ontario regions",Total unemployed,  45-54,60.8,31.7,29.1
Dec2002,"Total, Ontario regions",Total unemployed,  55-64,35.3,21.3,14.1
Dec2002,"Total, Ontario regions",Total unemployed,  65 years and over,3.9,2.6,0.0
Dec2002,"Total, Ontario regions",   1 - 4 weeks,"Total, 15 years and over",154.0,88.7,65.3
Dec2002,"Total, Ontario regions",   1 - 4 weeks, 15-64 years,152.3,87.3,65.0
Dec2002,"Total, Ontario regions",   1 - 4 weeks,  15-19,35.7,23.5,12.2
Dec2002,"Total, Ontario regions",   1 - 4 weeks,  20-24,25.8,16.3,9.5
Dec2002,"Total, Ontario regions",   1 - 4 weeks,  25-44,62.0,32.4,29.6
Dec2002,"Total, Ontario regions",   1 - 4 weeks,  45-54,19.5,9.8,9.7
Dec2002,"Total, Ontario regions",   1 - 4 weeks,  55-64,9.3,5.2,4.1
Dec2002,"Total, Ontario regions",   1 - 4 weeks,  65 years and over,1.7,0.0,0.0
Dec2002,"Total, Ontario regions",   5 - 13 weeks,"Total, 15 years and over",126.2,70.3,56.0
Dec2002,"Total, Ontario regions",   5 - 13 weeks, 15-64 years,125.4,69.8,55.5
Dec2002,"Total, Ontario regions",   5 - 13 weeks,  15-19,21.9,13.0,8.9
Dec2002,"Total, Ontario regions",   5 - 13 weeks,  20-24,18.1,12.0,6.1
Dec2002,"Total, Ontario regions",   5 - 13 weeks,  25-44,59.5,32.8,26.7
Dec2002,"Total, Ontario regions",   5 - 13 weeks,  45-54,18.8,8.5,10.2
Dec2002,"Total, Ontario regions",   5 - 13 weeks,  55-64,7.1,3.5,3.5
Dec2002,"Total, Ontario regions",   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   14 - 25 weeks,"Total, 15 years and over",58.0,34.4,23.5
Dec2002,"Total, Ontario regions",   14 - 25 weeks, 15-64 years,57.9,34.4,23.5
Dec2002,"Total, Ontario regions",   14 - 25 weeks,  15-19,7.2,5.0,2.1
Dec2002,"Total, Ontario regions",   14 - 25 weeks,  20-24,7.8,5.3,2.4
Dec2002,"Total, Ontario regions",   14 - 25 weeks,  25-44,31.0,16.5,14.5
Dec2002,"Total, Ontario regions",   14 - 25 weeks,  45-54,7.2,3.9,3.2
Dec2002,"Total, Ontario regions",   14 - 25 weeks,  55-64,4.7,3.6,0.0
Dec2002,"Total, Ontario regions",   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   26 weeks ,"Total, 15 years and over",5.7,2.5,3.1
Dec2002,"Total, Ontario regions",   26 weeks , 15-64 years,5.7,2.5,3.1
Dec2002,"Total, Ontario regions",   26 weeks ,  15-19,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   26 weeks ,  20-24,1.5,0.0,0.0
Dec2002,"Total, Ontario regions",   26 weeks ,  25-44,2.2,0.0,0.0
Dec2002,"Total, Ontario regions",   26 weeks ,  45-54,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   26 weeks ,  55-64,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   26 weeks ,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   27 weeks or more,"Total, 15 years and over",65.7,39.8,26.0
Dec2002,"Total, Ontario regions",   27 weeks or more, 15-64 years,64.5,39.1,25.5
Dec2002,"Total, Ontario regions",   27 weeks or more,  15-19,3.1,1.7,0.0
Dec2002,"Total, Ontario regions",   27 weeks or more,  20-24,4.5,3.2,0.0
Dec2002,"Total, Ontario regions",   27 weeks or more,  25-44,31.1,17.7,13.5
Dec2002,"Total, Ontario regions",   27 weeks or more,  45-54,13.3,8.1,5.2
Dec2002,"Total, Ontario regions",   27 weeks or more,  55-64,12.5,8.4,4.1
Dec2002,"Total, Ontario regions",   27 weeks or more,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      27 - 51 weeks,"Total, 15 years and over",30.1,17.1,13.0
Dec2002,"Total, Ontario regions",      27 - 51 weeks, 15-64 years,30.0,17.1,12.9
Dec2002,"Total, Ontario regions",      27 - 51 weeks,  15-19,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      27 - 51 weeks,  20-24,2.5,0.0,0.0
Dec2002,"Total, Ontario regions",      27 - 51 weeks,  25-44,14.8,8.0,6.9
Dec2002,"Total, Ontario regions",      27 - 51 weeks,  45-54,5.5,3.5,1.9
Dec2002,"Total, Ontario regions",      27 - 51 weeks,  55-64,5.8,3.6,2.2
Dec2002,"Total, Ontario regions",      27 - 51 weeks,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      52 weeks,"Total, 15 years and over",15.8,8.9,6.8
Dec2002,"Total, Ontario regions",      52 weeks, 15-64 years,15.0,8.4,6.6
Dec2002,"Total, Ontario regions",      52 weeks,  15-19,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      52 weeks,  20-24,1.6,1.5,0.0
Dec2002,"Total, Ontario regions",      52 weeks,  25-44,6.7,2.8,3.9
Dec2002,"Total, Ontario regions",      52 weeks,  45-54,3.6,2.5,0.0
Dec2002,"Total, Ontario regions",      52 weeks,  55-64,2.0,0.0,0.0
Dec2002,"Total, Ontario regions",      52 weeks,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      53 weeks or more,"Total, 15 years and over",19.9,13.7,6.2
Dec2002,"Total, Ontario regions",      53 weeks or more, 15-64 years,19.4,13.5,5.9
Dec2002,"Total, Ontario regions",      53 weeks or more,  15-19,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      53 weeks or more,  20-24,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",      53 weeks or more,  25-44,9.6,6.9,2.7
Dec2002,"Total, Ontario regions",      53 weeks or more,  45-54,4.2,2.1,2.1
Dec2002,"Total, Ontario regions",      53 weeks or more,  55-64,4.7,3.6,0.0
Dec2002,"Total, Ontario regions",      53 weeks or more,  65 years and over,0.0,0.0,0.0
Dec2002,"Total, Ontario regions",   Duration unknown,"Total, 15 years and over",11.1,4.4,6.8
Dec2002,"Total, Ontario regions",   Duration unknown, 15-64 years,11.1,4.4,6.8
Dec2002,"Total, Ontario regions",   Duration unknown,  15-19,2.6,0.0,0.0
Dec2002,"Total, Ontario regions",   Duration unknown,  20-24,1.9,0.0,0.0
